x:  -3.96, y:  -8.26, z:   568.31
x: -30.24, y:  13.82, z:   455.98
x: -21.80, y:  -4.94, z:  -351.34
x:   0.80, y:   6.91, z:     4.36
x:  -9.85, y:  -0.43, z:  -167.04
x:  -4.09, y:  -6.42, z:  -112.94
x: -12.65, y:   0.26, z:   180.81
x:   9.49, y:  -3.07, z:    -5.31
x:  -5.97, y:  10.75, z:    77.37
x: -18.50, y:   0.36, z:  -286.93
x: -25.30, y:  28.34, z:    32.41
x:  20.73, y: -20.76, z:  -106.70
x: -41.37, y: -14.61, z:  2333.35
x:  15.43, y:  21.98, z:  -477.74
x:  11.16, y: -17.61, z:    10.45
x:  16.71, y: -13.00, z:   272.32
x:  74.07, y:  37.58, z:  -209.68
x:   1.18, y:  27.94, z:    16.59
x:  -3.22, y:   4.73, z:   -64.23
x:  29.71, y: -25.22, z:  -267.27
x:  -5.58, y:  36.92, z:  -351.48
x:  63.21, y:  52.94, z:  -341.52
x: -18.94, y:  21.95, z:    82.59
x:  18.76, y:   7.08, z:    17.00
x:  24.14, y:  -8.85, z:    77.42
x: -24.36, y:  -3.23, z: -1404.97
x: -22.09, y:  -5.97, z:   107.07
x:   9.14, y:   7.79, z:   -62.79
x:  -8.04, y:  -4.74, z:    51.83
x: -15.88, y:  -6.04, z:   164.48
x:  -6.29, y: -10.63, z:  -689.12
x:   8.76, y:  18.92, z:   -38.08
x:   5.42, y:  23.59, z:   179.52
x:  23.59, y:  -5.08, z:  -862.10
x:  11.79, y:   6.66, z:   154.83
x:  13.09, y: -11.96, z:   -33.67
x:   7.09, y:  -8.68, z:   746.63
x:  18.03, y: 152.66, z:  -323.00
x: -21.39, y:   0.91, z:   -21.27
x:  29.05, y: -26.40, z:  1749.92
x:   6.95, y: -18.56, z:  -254.25
x: -18.63, y:   0.64, z:   463.56
x:  13.97, y:  26.06, z:    66.52
